"Tutte le cittadinanze - Anno: 2014"
Territorio/Età;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Codice regione;Regione;Totale
05;Veneto;40526;41799;43990;44842;46236;46877;47895;47260;47250;46928;47433;46387;45869;45614;47338;46165;46096;45863;45299;44457;44835;45146;47063;46789;47958;47743;49007;47362;48391;51226;51739;52815;55160;56450;58213;61054;65366;67869;71210;74854;79989;79302;80610;81704;81943;84008;83025;83767;84379;84720;85291;79849;76793;75280;71185;70838;66291;65023;63876;61632;60643;58549;57661;56901;59174;58404;60050;58708;63450;43277;50088;50941;49157;48698;51077;49455;47272;42458;38985;38888;36485;32750;31320;29418;28512;24333;22843;20909;17967;15621;13109;11353;8831;7026;5525;2689;1532;1222;978;945;1611
06;Friuli-Venezia Giulia;9178;9361;9799;9971;10397;10525;10501;10731;10633;10445;10537;10425;10261;10444;10634;10202;10126;10001;10160;9854;9841;10048;10698;10623;10924;11050;11359;10896;11457;11982;12277;12499;13133;13311;13811;14316;15627;15816;16780;17750;19291;19137;19726;19805;19975;20217;20081;20336;20324;20656;21011;19908;18786;18402;17773;17609;16597;16264;16103;15768;15585;15449;15301;15185;16131;15990;17036;17012;17904;12234;14645;14361;14405;14530;15294;14414;13666;12365;11143;10793;9832;9244;8778;8188;8156;7107;6411;5921;5469;4669;4173;3615;2975;2544;1956;952;467;405;318;305;584
07;Liguria;10714;10983;11565;11369;11788;12340;12603;12347;12466;12412;12513;12248;12522;12547;12721;12458;12548;12556;12810;12471;12649;12929;13669;13519;13541;13622;13928;13572;13498;14153;14333;14657;14733;15363;15208;15955;17375;18502;19481;21094;22477;22950;24075;24360;24597;25263;25502;25399;26516;27091;27321;25684;24792;23976;23169;22923;22080;21799;21174;20482;20587;19951;19401;19304;20678;21088;22289;22979;23173;16821;19012;18501;19091;19598;21078;20620;20229;18523;17012;16681;15638;15031;14467;13834;13489;11951;10590;9359;8179;7090;5960;5127;4159;3312;2632;1260;850;652;537;481;821
08;Emilia-Romagna;36624;38166;39464;40268;41593;42393;42033;41634;41150;40481;39906;38881;38996;38742;39249;37645;37293;37100;36618;36156;36802;37034;38407;39209;40055;40169;41173;41442;42586;45254;46875;48671;50605;51678;53853;56345;60475;63073;66492;70118;73531;73523;74103;74536;73490;74511;74113;73026;73868;72878;74274;69316;67072;65718;63688;62218;59358;59063;58186;55783;54322;51950;51230;50714;53041;53644;56680;56431;57198;40448;45024;44755;44022;44944;48678;47716;47187;42503;38563;39863;38264;34922;31952;31135;30412;26327;24305;21981;18951;17483;14707;12676;10153;8383;6242;3295;1773;1399;1229;1059;1853
09;Toscana;29044;29495;31237;31655;32502;32660;33668;33378;32939;32848;32819;31959;32173;32032;32243;30993;31158;30916;30705;30647;31038;31372;33006;33418;34595;34648;36231;35507;35797;38014;38831;40206;41439;42240;43730;45895;49009;50899;53585;56338;58984;59488;60200;60692;59727;61411;60514;60896;61836;61875;62452;58421;56470;55228;53681;52375;50479;49574;48793;47910;47404;45075;44782;44638;46093;48069;51420;51251;51531;40109;39856;40165;38390;39501;44070;42337;42470;37893;34292;34657;31932;30159;28056;27603;26789;23170;21572;19276;16744;14836;12756;10698;8544;7183;5498;2696;1415;1049;943;835;1412
10;Umbria;6961;7271;7489;7572;7831;7801;8280;8158;8016;7971;7770;7639;7652;7579;7742;7580;7501;7460;7516;7617;7659;7913;8358;8311;8541;8773;9193;8953;9159;9487;9505;10271;10134;10500;10610;11051;11591;12033;12536;13176;13695;13593;13498;13659;13475;13936;13941;13792;13832;14289;14397;13453;13102;13055;12967;12378;11695;11485;11632;11436;11211;10970;10333;10871;11039;11465;12252;11364;10981;8752;9319;9749;9004;9112;10092;9807;10026;8881;8089;8192;7938;7435;6752;6943;6689;5556;5173;4735;4272;3686;3170;2667;2077;1738;1293;687;383;310;244;204;357
11;Marche;12302;12634;13105;13714;13887;14171;14239;13992;13803;13781;13768;13567;13712;13522;14016;13745;13922;13712;13703;13956;13828;14325;14993;15086;15406;15260;15814;15397;15974;16437;16509;17078;17900;17976;18695;19596;20914;21414;22123;23210;23754;23392;23837;24479;23852;24627;24386;24459;24584;24472;25095;23897;22620;22895;22167;21539;21029;20462;20656;19869;19249;18740;18567;18903;19261;18568;19162;18574;18734;15409;14937;15682;14870;14833;16845;17127;17064;15366;14111;14410;13484;12683;11280;11651;11101;9405;8965;8272;7121;6404;5231;4376;3500;2899;2310;1119;597;461;403;365;573
12;Lazio;50241;51805;53657;53342;54122;54521;54970;54962;54549;52796;52983;52553;51588;51721;52463;51309;51708;51484;51829;52590;53552;54929;57460;57262;58983;59038;60924;60753;60970;63779;65986;67950;70588;72074;73407;76378;80872;82953;86401;90835;94890;94966;96003;96171;96138;97496;96594;96763;97438;97387;98909;92745;88744;86619;82917;80613;77273;76010;74225;73112;71640;67603;65969;65287;67129;66892;70670;70004;68019;53019;53178;55551;53703;53937;58816;56611;53924;49439;45390;45132;42253;38917;35604;34095;33101;27719;24336;21745;18944;15742;13475;11399;8856;7141;5572;2651;1531;1299;1068;832;1406
13;Abruzzo;10407;10617;11163;11204;11579;11330;11678;11514;11372;11483;11563;11493;11276;11752;11860;11694;11931;11869;12151;12275;12759;13411;13907;14079;14523;14603;14770;14604;14866;15442;15742;15698;16334;16122;16515;17237;17872;17938;18837;19187;19995;19751;20319;20788;20373;21233;21077;21270;21460;21580;21765;20398;19664;19411;19035;18762;18055;17906;17601;17559;17235;16237;16068;16134;16741;17041;17240;16414;15902;11934;12834;12431;12010;12095;13777;13769;12550;12435;11481;11551;10855;10790;9483;9255;9278;7692;7023;6392;5482;4762;3879;3187;2691;2156;1657;841;468;316;367;288;436
14;Molise;2182;2234;2253;2315;2464;2315;2511;2495;2503;2573;2585;2627;2653;2698;2802;2880;2887;2944;2977;3070;3197;3274;3526;3487;3481;3533;3630;3641;3529;3702;3726;3706;3740;3842;3727;3948;3962;4053;4168;4435;4585;4424;4518;4499;4487;4761;4759;4893;4950;4931;5053;4745;4644;4614;4712;4555;4342;4315;4315;4258;4294;3888;4029;3754;4051;4231;4130;3928;3624;2851;2784;2608;2563;2814;3231;3416;2950;2958;2931;2866;2857;2728;2409;2318;2331;1956;1729;1677;1402;1156;978;826;725;596;435;209;122;99;100;86;123
