Region,Year,MenB,MenC,Known serogroup,Total cases,Pop,MenB per 100000,MenC per 100000,Known serogroup per 100000,Total cases per 100000
Friuli-Venezia Giulia,2019,1,0,2,2,1210414.0,0.0826163610136697,0.0,0.1652327220273394,0.1652327220273394
Friuli-Venezia Giulia,2020,0,0,0,1,1206216.0,0.0,0.0,0.0,0.08290389117703628
Friuli-Venezia Giulia,2021,0,0,0,0,1201510.0,0.0,0.0,0.0,0.0
Friuli-Venezia Giulia,2022,0,0,1,1,1194647.0,0.0,0.0,0.0837067351276151,0.0837067351276151
Friuli-Venezia Giulia,2023,2,0,2,2,1194248.0,0.1674694033400098,0.0,0.1674694033400098,0.1674694033400098
Lazio,2014,4,0,6,13,5723955.0,0.06988175134151124,0.0,0.10482262701226688,0.22711569185991154
Lazio,2015,1,5,9,16,5744899.0,0.017406746402330135,0.08703373201165068,0.15666071762097125,0.27850794243728216
Lazio,2016,5,5,17,19,5761508.0,0.08678283532714005,0.08678283532714005,0.29506164011227615,0.3297747742431322
Lazio,2017,13,3,21,21,5774092.0,0.2251436243135717,0.051956220995439624,0.3636935469680774,0.3636935469680774
Lazio,2018,8,1,13,14,5774606.0,0.13853759027022797,0.017317198783778496,0.22512358418912046,0.24244078297289892
Lazio,2019,12,5,23,24,5773076.0,0.20786145895186553,0.08660894122994396,0.3984011296577422,0.41572291790373106
Lazio,2020,8,0,9,9,5755700.0,0.13899265076359085,0.0,0.15636673210903973,0.15636673210903973
Lazio,2021,3,0,4,4,5730399.0,0.05235237546286044,0.0,0.06980316728381392,0.06980316728381392
Lazio,2022,2,0,2,2,5714882.0,0.034996348131072524,0.0,0.034996348131072524,0.034996348131072524
Lazio,2023,13,0,13,13,5720536.0,0.2272514323832592,0.0,0.2272514323832592,0.2272514323832592
Liguria,2014,0,1,1,1,1580322.0,0.0,0.06327824329472095,0.06327824329472095,0.06327824329472095
Liguria,2015,0,1,1,2,1569427.0,0.0,0.06371752238237267,0.06371752238237267,0.12743504476474535
Liguria,2016,1,2,3,5,1557742.0,0.06419548294903778,0.12839096589807555,0.19258644884711332,0.32097741474518887
Liguria,2017,3,5,8,9,1551379.0,0.19337634452960883,0.322293907549348,0.5156702520789569,0.5801290335888265
Liguria,2018,2,2,7,8,1541541.0,0.1297403053178605,0.12974030531786052,0.4540910686125118,0.5189612212714422
Liguria,2019,1,2,6,8,1532980.0,0.06523242312358934,0.1304648462471788,0.39139453874153607,0.5218593849887148
Liguria,2020,0,1,2,5,1524826.0,0.0,0.06558125320528374,0.13116250641056748,0.32790626602641876
Liguria,2021,0,1,1,1,1518495.0,0.0,0.06585467848099598,0.06585467848099598,0.06585467848099598
Liguria,2022,1,1,2,3,1509227.0,0.06625908494878503,0.06625908494878503,0.13251816989757007,0.19877725484635514
Liguria,2023,1,0,2,2,1507636.0,0.06632900779763815,0.0,0.1326580155952763,0.1326580155952763
Lombardia,2014,12,16,32,45,9929769.0,0.12084873273487028,0.16113164364649368,0.32226328729298737,0.4531827477557635
Lombardia,2015,13,8,30,34,9954769.0,0.13059067468064803,0.08036349211116801,0.3013630954168801,0.3415448414724641
Lombardia,2016,15,18,40,45,9958447.0,0.15062589578475438,0.18075107494170528,0.4016690554260117,0.45187768735426315
Lombardia,2017,9,16,32,32,9970419.0,0.09026701886851494,0.16047470021069324,0.3209494004213865,0.3209494004213865
Lombardia,2018,12,9,33,35,9986962.0,0.1201566602536387,0.09011749519022902,0.3304308156975064,0.3504569257397795
Lombardia,2019,17,10,35,38,10010833.0,0.16981603828572506,0.0998917872268971,0.34962125529413984,0.379588791462209
Lombardia,2020,8,4,13,17,10027602.0,0.07977979181862224,0.03988989590931112,0.12964216170526113,0.16953205761457224
Lombardia,2021,5,1,8,8,9981554.0,0.05009240044185504,0.01001848008837101,0.08014784070696808,0.08014784070696808
Lombardia,2022,9,1,10,13,9943004.0,0.0905159044489975,0.01005732271655528,0.1005732271655528,0.13074519531521864
Lombardia,2023,8,1,13,16,9976509.0,0.08018837050114423,0.010023546312643029,0.13030610206435939,0.16037674100228846
Marche,2014,0,0,0,0,1549478.0,0.0,0.0,0.0,0.0
Marche,2015,0,0,1,2,1545869.0,0.0,0.0,0.06468853441009555,0.1293770688201911
Marche,2016,2,0,5,8,1538442.0,0.13000165102096797,0.0,0.3250041275524199,0.5200066040838719
Marche,2017,3,0,3,3,1532460.0,0.19576367409263537,0.0,0.19576367409263537,0.19576367409263537
Marche,2018,3,0,3,3,1526331.0,0.19654976541785496,0.0,0.19654976541785496,0.19654976541785496
Marche,2019,1,0,2,2,1520321.0,0.06577558291965974,0.0,0.13155116583931947,0.13155116583931947
Marche,2020,1,1,2,3,1512672.0,0.06610818472213408,0.06610818472213408,0.13221636944426815,0.19832455416640224
Marche,2021,0,0,0,1,1498236.0,0.0,0.0,0.0,0.06674515897361964
Marche,2022,3,0,3,3,1487150.0,0.20172813771307532,0.0,0.20172813771307532,0.20172813771307532
Marche,2023,4,0,4,4,1484298.0,0.2694876635284828,0.0,0.2694876635284828,0.2694876635284828
Molise,2014,0,0,0,0,312897.0,0.0,0.0,0.0,0.0
Molise,2015,0,0,0,0,311398.0,0.0,0.0,0.0,0.0
Molise,2016,0,0,0,0,310026.0,0.0,0.0,0.0,0.0
Molise,2017,0,1,1,1,308400.0,0.0,0.324254215304799,0.324254215304799,0.324254215304799
Molise,2018,0,0,0,0,306564.0,0.0,0.0,0.0,0.0
Molise,2019,0,0,0,0,303790.0,0.0,0.0,0.0,0.0
Molise,2020,0,0,0,0,300516.0,0.0,0.0,0.0,0.0
Molise,2021,0,0,0,0,294294.0,0.0,0.0,0.0,0.0
Molise,2022,0,0,0,0,292150.0,0.0,0.0,0.0,0.0
Molise,2023,0,1,1,1,290636.0,0.0,0.34407299852736756,0.34407299852736756,0.34407299852736756
Piemonte,2014,4,3,9,10,4420924.0,0.09047882297908763,0.06785911723431572,0.20357735170294716,0.22619705744771906
Piemonte,2015,3,2,7,9,4403562.0,0.06812666654858045,0.04541777769905363,0.1589622219466877,0.20437999964574133
Piemonte,2016,9,2,14,16,4384226.0,0.20528138832259102,0.04561808629390912,0.31932660405736385,0.36494469035127297
Piemonte,2017,8,3,13,14,4370348.0,0.1830517844345576,0.0686444191629591,0.2974591497061561,0.3203406227604758
Piemonte,2018,2,0,4,5,4349911.0,0.04597795219258509,0.0,0.09195590438517018,0.11494488048146273
Piemonte,2019,6,1,8,8,4328565.0,0.13861406724861472,0.023102344541435785,0.18481875633148628,0.18481875633148628
Piemonte,2020,3,0,5,5,4311217.0,0.06958591970666288,0.0,0.11597653284443814,0.11597653284443814
Piemonte,2021,1,0,1,1,4274945.0,0.023392113816668985,0.0,0.023392113816668985,0.023392113816668985
Piemonte,2022,2,0,4,4,4256350.0,0.04698861700752993,0.0,0.09397723401505986,0.09397723401505986
Piemonte,2023,2,0,2,2,4251351.0,0.047043869113606473,0.0,0.047043869113606473,0.047043869113606473
Puglia,2014,3,5,9,9,4077788.0,0.07356929786443042,0.12261549644071737,0.22070789359329127,0.22070789359329127
Puglia,2015,5,4,12,12,4063269.0,0.12305362997133588,0.09844290397706872,0.29532871193120613,0.29532871193120613
Puglia,2016,3,2,5,5,4043735.0,0.07418883779476153,0.04945922519650769,0.12364806299126921,0.12364806299126921
Puglia,2017,4,1,8,8,4024067.0,0.09940192347692023,0.024850480869230057,0.19880384695384046,0.19880384695384046
Puglia,2018,2,2,5,5,4000966.0,0.049987927915408424,0.049987927915408424,0.12496981978852106,0.12496981978852106
Puglia,2019,4,1,7,7,3975528.0,0.10061556603298982,0.025153891508247456,0.17607724055773222,0.17607724055773222
Puglia,2020,0,1,1,2,3953305.0,0.0,0.0252952909021692,0.0252952909021692,0.0505905818043384
Puglia,2021,1,0,1,1,3933777.0,0.025420861426562816,0.0,0.025420861426562816,0.025420861426562816
